                bin     count pi_fl_mid       nrtv_avg    ndtv_avg     c_avg    nkwt_avg  nkwot_avg    bs_avg   nkc_avg    tp_avg  capt_avg   cap_avg  frac_tar_avg  prob_baseline_avg  prob_narrow_attack_avg  prob_full_attack_avg    pi_avg  pi_fl_avg  num_pos_pred  num_all_poss_pred  model_tp  model_fp  naive_tp  naive_fp  frac_perfect  frac_capt  frac_cap  model_prec  naive_prec
0      (0.975, 1.0]      5807    0.9875  156458.386258   56.792836  0.874290  183.537799   6.866024  0.000000  3.623041  0.403651  0.016780  0.548106      0.848409           0.794546                1.000000              0.998903  0.994036   0.994036          5807               5807      5077       730      5077       730      1.000000   0.016780  0.548106    0.874290    0.874290
1     (0.95, 0.975]      1658    0.9625  116737.155006   27.021713  0.858866   55.460193   2.790109  0.000000  3.714717  0.457177  0.015319  0.486219      0.862546           0.791245                0.999985              0.992303  0.963274   0.963274          1658               1658      1424       234      1424       234      1.000000   0.015319  0.486219    0.858866    0.858866
2     (0.925, 0.95]      1560    0.9375  104610.438462   30.749359  0.857692   46.955769   2.362821  0.000000  3.741026  0.491026  0.015619  0.497121      0.878752           0.795104                0.999931              0.987231  0.937293   0.937293          1560               1560      1338       222      1338       222      1.000000   0.015619  0.497121    0.857692    0.857692
3      (0.9, 0.925]      1584    0.9125  127728.554293   30.166667  0.880682   41.914773   2.177399  0.000000  3.604167  0.546086  0.016437  0.594558      0.892964           0.808743                0.999825              0.983280  0.913201   0.913201          1584               1584      1395       189      1395       189      1.000000   0.016437  0.594558    0.880682    0.880682
4      (0.875, 0.9]      1547    0.8875  122031.567550   50.787330  0.846154   37.752424   1.932127  0.000646  3.610860  0.532644  0.016688  0.608219      0.882282           0.804526                0.999628              0.977904  0.887149   0.887149          1547               1547      1309       238      1309       238      1.000000   0.016688  0.608219    0.846154    0.846154
5     (0.85, 0.875]      2015    0.8625  117619.741935   24.451613  0.874442   35.248635   1.978164  0.001985  3.552357  0.601985  0.017046  0.649651      0.903556           0.816390                0.999332              0.974808  0.863210   0.863210          2015               2015      1762       253      1762       253      1.000000   0.017046  0.649651    0.874442    0.874442
6     (0.825, 0.85]      1836    0.8375   88801.775599   26.017974  0.872004   31.840959   1.605120  0.004357  3.602941  0.575163  0.016437  0.612564      0.888866           0.804088                0.998888              0.968176  0.837365   0.837365          1836               1836      1601       235      1601       235      1.000000   0.016437  0.612564    0.872004    0.872004
7      (0.8, 0.825]      2249    0.8125   98655.256558   28.285460  0.884838   28.391285   1.157848  0.007114  3.450867  0.632281  0.015844  0.650759      0.915016           0.818964                0.998269              0.966094  0.812488   0.812488          2249               2249      1990       259      1990       259      1.000000   0.015844  0.650759    0.884838    0.884838
8      (0.775, 0.8]      3260    0.7875   82122.160123   23.388957  0.894479   25.381288   0.779141  0.009509  3.350920  0.717485  0.017636  0.796929      0.930605           0.837623                0.997407              0.965480  0.787559   0.787559          3260               3260      2916       344      2916       344      1.000000   0.017636  0.796929    0.894479    0.894479
9     (0.75, 0.775]      2851    0.7625   98570.728516   21.117503  0.883550   24.426517   0.902140  0.058225  3.355314  0.681866  0.018313  0.761655      0.901646           0.825180                0.996509              0.958432  0.762312   0.762312          2851               2851      2519       332      2519       332      1.000000   0.018313  0.761655    0.883550    0.883550
10    (0.725, 0.75]      3834    0.7375  104550.410537   27.697966  0.894888   22.517736   0.693271  0.109285  3.233698  0.710224  0.019996  0.847990      0.913490           0.839610                0.995408              0.958183  0.739934   0.739934          3834               3834      3431       403      3431       403      1.000000   0.019996  0.847990    0.894888    0.894888
11     (0.7, 0.725]      6725    0.7125   84608.900372   21.042825  0.919554   20.074052   0.432268  0.072714  3.129219  0.797026  0.020232  0.971623      0.935414           0.854612                0.993431              0.958033  0.711158   0.711158          6725               6725      6184       541      6184       541      1.000000   0.020232  0.971623    0.919554    0.919554
12     (0.675, 0.7]      6408    0.6875  104948.790730   16.428839  0.908864   19.044007   0.456617  0.113764  3.129057  0.775437  0.020297  0.924199      0.929480           0.850678                0.991597              0.952856  0.683784   0.683784          6408               6408      5824       584      5824       584      1.000000   0.020297  0.924199    0.908864    0.908864
13    (0.65, 0.675]      7287    0.6625  104478.754220   18.555235  0.913819   17.958968   0.443530  0.115823  3.146974  0.780843  0.020603  0.919831      0.922619           0.853050                0.989512              0.949920  0.658860   0.658860          7287               7287      6659       628      6659       628      1.000000   0.020603  0.919831    0.913819    0.913819
14    (0.625, 0.65]     10709    0.6375   87656.468018   12.181156  0.919414   16.497992   0.319918  0.135213  3.069007  0.819124  0.020555  0.960980      0.933831           0.856587                0.986695              0.947367  0.632609   0.632609         10709              10709      9846       863      9846       863      1.000000   0.020555  0.960980    0.919414    0.919414
15     (0.6, 0.625]     13931    0.6125   84944.607638   21.667145  0.933960   15.267533   0.251238  0.152250  3.009978  0.849042  0.021181  0.999448      0.930010           0.862624                0.983397              0.945901  0.605362   0.605362         13931              13931     13011       920     13011       920      1.000000   0.021181  0.999448    0.933960    0.933960
16     (0.575, 0.6]      7539    0.5875  137933.300172   39.627139  0.874254   15.504311   0.395941  0.347261  2.914843  0.755405  0.022497  0.881744      0.859395           0.833752                0.982505              0.931228  0.586054   0.586054          7539               7539      6591       948      6591       948      1.000000   0.022497  0.881744    0.874254    0.874254
17    (0.55, 0.575]     17207    0.5625   88910.119370   21.736851  0.921137   13.977916   0.238740  0.165979  3.006974  0.825652  0.021228  0.998362      0.913807           0.855962                0.978362              0.937469  0.566467   0.566467         17207              17207     15850      1357     15850      1357      1.000000   0.021228  0.998362    0.921137    0.921137
18    (0.525, 0.55]     25669    0.5375   92186.115119   23.878881  0.922942   12.881569   0.168452  0.182087  2.948771  0.856870  0.021543  1.034835      0.924072           0.860909                0.973781              0.935845  0.538874   0.538874         25669              25669     23691      1978     23691      1978      1.000000   0.021543  1.034835    0.922942    0.922942
19     (0.5, 0.525]     36942    0.5125   77493.842808   18.936955  0.919171   11.922202   0.156489  0.226247  2.889178  0.847382  0.021641  1.051524      0.928547           0.859533                0.968030              0.930921  0.507679   0.507679         36942              36942     33956      2986     33956      2986      1.000000   0.021641  1.051524    0.919171    0.919171
20     (0.475, 0.5]     21391    0.4875  135616.129961   41.402319  0.912346   11.738909   0.170866  0.547520  2.505212  0.852695  0.024279  1.029049      0.876578           0.848184                0.966326              0.921744  0.483896   0.483896         21391              21391     19516      1875     19516      1875      1.000000   0.024279  1.029049    0.912346    0.912346
21    (0.45, 0.475]     48734    0.4625   77028.618993   16.009090  0.918045   10.628924   0.130238  0.163561  2.949850  0.857697  0.021354  1.058958      0.916889           0.859522                0.958754              0.924873  0.465146   0.465146         48734              48734     44740      3994     44740      3994      1.000000   0.021354  1.058958    0.918045    0.918045
22    (0.425, 0.45]     85556    0.4375   71698.574501   14.586329  0.922273    9.737108   0.100776  0.253542  2.825214  0.875941  0.022100  1.093612      0.928620           0.859604                0.951032              0.920414  0.432065   0.432065         85556              85556     78906      6650     78906      6650      1.000000   0.022100  1.093612    0.922273    0.922273
23     (0.4, 0.425]     42229    0.4125  113851.291743   49.249118  0.889460    9.587582   0.113334  0.550735  2.431694  0.841318  0.023573  1.036858      0.852148           0.830223                0.948910              0.899676  0.408933   0.408933         42221              42229     37554      4667     37561      4668      0.999811   0.023569  1.036661    0.889463    0.889460
24     (0.375, 0.4]    112359    0.3875   76715.722158   15.618713  0.922481    8.606315   0.088093  0.237008  2.840440  0.879146  0.022499  1.117644      0.920348           0.860397                0.938498              0.914427  0.386588   0.386588        112322             112359    103621      8701    103649      8710      0.999671   0.022492  1.117276    0.922535    0.922481
25    (0.35, 0.375]     88882    0.3625   93169.281441   26.113184  0.901645    8.374283   0.092055  0.657838  2.282644  0.863842  0.023493  1.109409      0.888253           0.835380                0.935431              0.894943  0.361418   0.361418         88728              88882     80006      8722     80140      8742      0.998267   0.023453  1.107487    0.901700    0.901645
26    (0.325, 0.35]    171369    0.3375   71102.413540   17.483378  0.913076    7.426308   0.068729  0.224399  2.783292  0.875450  0.022609  1.131110      0.903299           0.853484                0.922620              0.903078  0.338512   0.338512        170900             171369    156074     14826    156473     14896      0.997263   0.022547  1.128015    0.913248    0.913076
27     (0.3, 0.325]    167351    0.3125   78641.008378   25.562476  0.864279    7.172488   0.104881  0.548392  2.397261  0.815239  0.023374  1.136918      0.872202           0.828549                0.916621              0.881942  0.311527   0.311527        166568             167351    143967     22601    144638     22713      0.995321   0.023265  1.131599    0.864314    0.864279
28     (0.275, 0.3]    239007    0.2875   77407.148632   24.062061  0.921404    6.365935   0.051722  0.237499  2.776931  0.891903  0.022394  1.094635      0.905990           0.850060                0.905111              0.893149  0.288212   0.288212        237674             239007    219053     18621    220222     18785      0.994423   0.022269  1.088530    0.921653    0.921404
29    (0.25, 0.275]    268179    0.2625   75543.114599   28.294087  0.864848    6.101052   0.081703  0.599749  2.271662  0.824050  0.024140  1.202261      0.865535           0.825565                0.898001              0.871256  0.262140   0.262140        265755             268179    229821     35934    231934     36245      0.990961   0.023922  1.191394    0.864785    0.864848
30    (0.225, 0.25]    374909    0.2375   78428.281023   19.925150  0.907559    5.353696   0.048809  0.257617  2.745461  0.880110  0.022678  1.104845      0.898476           0.842965                0.884288              0.880107  0.236909   0.236909        370704             374909    336771     33933    340252     34657      0.988784   0.022424  1.092453    0.908463    0.907559
31     (0.2, 0.225]    408505    0.2125   62065.400781   38.829444  0.853755    5.010318   0.075248  0.587586  2.285612  0.813525  0.023351  1.178008      0.852542           0.815341                0.874202              0.854285  0.210563   0.210563        401324             408505    342808     58516    348763     59742      0.982421   0.022940  1.157300    0.854193    0.853755
32     (0.175, 0.2]    572759    0.1875   70364.890745   29.513507  0.892620    4.314394   0.050936  0.212100  2.835659  0.864934  0.021572  1.058316      0.888121           0.829534                0.858549              0.860940  0.183867   0.183867        560775             572759    501775     59000    511256     61503      0.979077   0.021121  1.036173    0.894788    0.892620
33    (0.15, 0.175]    501578    0.1625   83983.087155   50.219523  0.835720    4.160139   0.078785  0.597315  2.199987  0.793807  0.025009  1.208552      0.819686           0.797056                0.851348              0.829720  0.160480   0.160480        478525             501578    402784     75741    419179     82399      0.954039   0.023860  1.153006    0.841720    0.835720
34    (0.125, 0.15]    636307    0.1375   75002.631382   54.166855  0.798509    3.512518   0.076589  0.368322  2.762759  0.755846  0.020987  0.965957      0.795488           0.770621                0.832910              0.801911  0.136422   0.136422        596589             636307    480928    115661    508097    128210      0.937580   0.019677  0.905662    0.806130    0.798509
35     (0.1, 0.125]    852337    0.1125   66619.191831  101.447291  0.849461    3.085979   0.049876  0.293735  2.718784  0.823278  0.022239  1.082505      0.823224           0.785980                0.822089              0.810337  0.115388   0.115388        781401             852337    680484    100917    724027    128310      0.916775   0.020388  0.992413    0.870851    0.849461
36     (0.075, 0.1]   1058949    0.0875   57820.254645  120.557952  0.730921    2.458734   0.078990  0.399198  2.652017  0.688989  0.020423  0.963706      0.721379           0.710024                0.797376              0.735546  0.088990   0.088990        892016            1058949    686172    205844    774008    284941      0.842360   0.017203  0.811787    0.769237    0.730921
37    (0.05, 0.075]   1965789    0.0625   47753.295687  212.974341  0.699967    1.534122   0.043946  0.170040  2.992587  0.586659  0.019511  0.894772      0.650467           0.648377                0.766130              0.669296  0.060628   0.060628       1353942            1965789   1117893    236049   1375988    589801      0.688752   0.013438  0.616276    0.825658    0.699967
38    (0.025, 0.05]   3391458    0.0375   30585.403148  184.689004  0.458805    0.626390   0.048093  0.415163  2.596715  0.234519  0.015469  0.734100      0.417689           0.455585                0.728488              0.476191  0.037505   0.037505       1346921            3391458    962071    384850   1556017   1835441      0.397151   0.006144  0.291549    0.714274    0.458805
39  (-0.001, 0.025]  17415586    0.0120   80945.809461   70.742446  0.722221    0.554946   0.606208  0.421138  2.519204  0.167964  0.019714  0.937778      0.777714           0.743636                0.656490              0.725245 -0.086820   0.001513      14462862           17415586  11915537   2547325  12140715   3462438      0.830455   0.016372  0.778782    0.823871    0.778094
